start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part,channel
66720,43.894671,227,0.1493418812500015,52,E3.333333333333333,80,2,0
67200,44.21046,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
67200,44.21046,227,0.1493418812500015,54,F3.5#,80,2,0
67920,44.6841435,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
67920,44.6841435,227,0.1493418812500015,54,F3.5#,80,2,0
68640,45.157827,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
68640,45.157827,227,0.1493418812500015,54,F3.5#,80,2,0
69120,45.473616,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
69120,45.473616,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
69840,45.9472995,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
69840,45.9472995,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
70560,46.420983,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
70560,46.420983,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
71040,46.736772,227,0.1493418812500015,42,F2.5#,80,2,0
71040,46.736772,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
71760,47.2104555,227,0.1493418812500015,42,F2.5#,80,2,0
71760,47.2104555,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
72480,47.684139,227,0.1493418812500015,42,F2.5#,80,2,0
72480,47.684139,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
72960,47.999928,227,0.1493418812500015,45,A2.75,80,2,0
72960,47.999928,227,0.1493418812500015,52,E3.333333333333333,80,2,0
73680,48.4736115,227,0.1493418812500015,45,A2.75,80,2,0
73680,48.4736115,227,0.1493418812500015,52,E3.333333333333333,80,2,0
74400,48.947295,227,0.1493418812500015,45,A2.75,80,2,0
74400,48.947295,227,0.1493418812500015,52,E3.333333333333333,80,2,0
74880,49.263084,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
74880,49.263084,227,0.1493418812500015,54,F3.5#,80,2,0
76800,50.52624,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
76800,50.52624,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
77520,50.9999235,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
77520,50.9999235,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
78240,51.473607,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
78240,51.473607,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
78720,51.789396,227,0.1493418812500015,42,F2.5#,80,2,0
78720,51.789396,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
79440,52.2630795,227,0.1493418812500015,42,F2.5#,80,2,0
79440,52.2630795,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
80160,52.736763,227,0.1493418812500015,42,F2.5#,80,2,0
80160,52.736763,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
80640,53.052552,227,0.1493418812500015,45,A2.75,80,2,0
80640,53.052552,227,0.1493418812500015,52,E3.333333333333333,80,2,0
81360,53.5262355,227,0.1493418812500015,45,A2.75,80,2,0
81360,53.5262355,227,0.1493418812500015,52,E3.333333333333333,80,2,0
82080,53.999919,227,0.1493418812500015,45,A2.75,80,2,0
82080,53.999919,227,0.1493418812500015,52,E3.333333333333333,80,2,0
82560,54.315708,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
82560,54.315708,227,0.1493418812500015,54,F3.5#,80,2,0
83280,54.7893915,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
83280,54.7893915,227,0.1493418812500015,54,F3.5#,80,2,0
84000,55.263075,227,0.1493418812500015,47,B2.9166666666666665,80,2,0
84000,55.263075,227,0.1493418812500015,54,F3.5#,80,2,0
84480,55.578864,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
84480,55.578864,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
85200,56.0525475,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
85200,56.0525475,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
85920,56.526231,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
85920,56.526231,227,0.1493418812500015,56,G3.666666666666667#,80,2,0
86400,56.84202,227,0.1493418812500015,42,F2.5#,80,2,0
86400,56.84202,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
87120,57.3157035,227,0.1493418812500015,42,F2.5#,80,2,0
87120,57.3157035,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
87840,57.789387,227,0.1493418812500015,42,F2.5#,80,2,0
87840,57.789387,227,0.1493418812500015,49,C3.083333333333333#,80,2,0
88320,58.105176,227,0.1493418812500015,45,A2.75,80,2,0
88320,58.105176,227,0.1493418812500015,52,E3.333333333333333,80,2,0
89040,58.5788595,227,0.1493418812500015,45,A2.75,80,2,0
