id,value,tweet,type,account_type
jimmyfallon,9308,"I got it on the first coat flip, so, I am not gonna retake this... shot! No I’m NOT gonna retake this... shot!… https://t.co/qslEZtdiMf",0,0
neymarjr,101968,stay strong 🙏🏽❤️ https://t.co/wEHhdeTPIz,0,0
neymarjr,101959,Flash ⚡️ and Batman 🦇 https://t.co/pDRoEypIwW,0,0
neymarjr,69896,Squad in Paris 🇫🇷 https://t.co/Nv4wyTjONw,0,0
neymarjr,63063,"Brumadinho 😥🙏🏽❤️
@OsGemeos https://t.co/DVNTkR0at6",0,0
neymarjr,55134,"Gigiii .. Feliz aniversário Lenda !!! Que Deus abençoe a sua vida sempre, uma honra poder fazer parte da sua histór… https://t.co/23sH7E2wtP",0,0
NiallOfficial,191008,Oh we are writing 😍😍😍😍,0,0
NiallOfficial,99705,@ShawnMendes Let’s do it then,0,0
NiallOfficial,94134,@goldsniall We’re going to try .,0,0
NiallOfficial,83557,So excited about this ! I’m singing on @juliamichaels album and I’m over the moon . Julia is one of my very very go… https://t.co/B5RZWjaIoX,0,0
NiallOfficial,80341,#whatatime,0,0
NASA,12809,"RIGHT NOW, ~1 billion miles past Pluto, @NASANewHorizons is performing the most distant spacecraft flyby ever as it… https://t.co/Ye0QfnZWce",0,1
NASA,6997,New beginnings! 🌟 When the universe was still a baby – less than 1 billion years old – several of its stars turned… https://t.co/wFLovzxaNO,0,1
NASA,6652,How do you photograph a galaxy that stretches for thousands of light-years? One Hubble image at a time. This is the… https://t.co/lSaMJgtanx,0,1
NASA,6298,"What's next for NASA? Look ahead at 2019, we're preparing for human missions to the Moon, making innovations in fli… https://t.co/UN6xy5xdk6",0,1
NASA,5888,"X-ray light from a black hole about 10,000 light-years away was detected by NICER, an instrument installed on… https://t.co/TGFVUHNoMt",0,1
BarackObama,1413869,"I knew it way back then and I’m absolutely convinced of it today — you’re one of a kind, @MichelleObama. Happy Birt… https://t.co/VLwQtcydJm",1,0
BarackObama,841326,"In 2018 people stepped up and showed up like never before. Keep it up in 2019. We’ve got a lot of work to do, and I… https://t.co/7XRYXZbFTu",1,0
BarackObama,767486,"I’ve always drawn inspiration from what Dr. King called life’s most persistent and urgent question: ""What are you d… https://t.co/Cxspr7qtwG",1,0
Harry_Styles,609917,2019. Happy New Year everyone. Love and happiness to you. H,1,0
MileyCyrus,596135,https://t.co/ghTRGfo6MQ,1,0
