start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part,channel
95520,87.153443,239,0.2180660895833373,51,D3.25#,96,2,0
95760,87.3724215,239,0.2180660895833373,51,D3.25#,96,2,0
96000,87.5914,239,0.2180660895833373,53,F3.416666666666667,96,2,0
96000,87.5914,455,0.4151467395833284,49,C3.083333333333333#,80,2,0
96240,87.8103785,239,0.2180660895833373,51,D3.25#,96,2,0
96480,88.029357,479,0.4370445895833373,49,C3.083333333333333#,96,2,0
96960,88.467314,479,0.4370445895833373,49,C3.083333333333333#,96,2,0
97440,88.905271,455,0.4151467395833284,51,D3.25#,80,2,0
97920,89.343228,239,0.2180660895833373,54,F3.5#,96,2,0
97920,89.343228,1367,1.2472650395833402,39,D2.25#,80,2,0
98160,89.5622065,1151,1.0501843895833343,51,D3.25#,96,2,0
99360,90.657099,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
99600,90.8760775,227,0.20711716458334029,58,A3.833333333333333#,80,2,0
99840,91.095056,239,0.2180660895833373,61,C4.083333333333333#,96,2,0
99840,91.095056,1367,1.2472650395833402,49,C3.083333333333333#,80,2,0
100080,91.3140345,239,0.2180660895833373,58,A3.833333333333333#,96,2,0
100320,91.533013,479,0.4370445895833373,56,G3.666666666666667#,96,2,0
100800,91.97097,479,0.4370445895833373,58,A3.833333333333333#,96,2,0
101280,92.408927,239,0.2180660895833373,56,G3.666666666666667#,96,2,0
101520,92.6279055,467,0.4260956645833403,39,D2.25#,115,2,0
102000,93.0658625,227,0.20711716458334029,42,F2.5#,96,2,0
102240,93.284841,227,0.20711716458334029,46,A2.8333333333333335#,96,2,0
102480,93.5038195,227,0.20711716458334029,54,F3.5#,96,2,0
102720,93.722798,683,0.6231763145833313,51,D3.25#,96,2,0
103440,94.3797335,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
103440,94.3797335,455,0.4151467395833284,53,F3.416666666666667,96,2,0
103920,94.8176905,227,0.20711716458334029,51,D3.25#,96,2,0
104160,95.036669,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
104640,95.474626,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
105360,96.1315615,467,0.4260956645833403,39,D2.25#,115,2,0
105840,96.5695185,227,0.20711716458334029,42,F2.5#,96,2,0
106080,96.788497,227,0.20711716458334029,46,A2.8333333333333335#,96,2,0
106320,97.0074755,227,0.20711716458334029,54,F3.5#,96,2,0
106560,97.226454,683,0.6231763145833313,51,D3.25#,96,2,0
107280,97.8833895,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
107280,97.8833895,455,0.4151467395833284,53,F3.416666666666667,96,2,0
107760,98.3213465,227,0.20711716458334029,51,D3.25#,96,2,0
108000,98.540325,911,0.8312058895833343,49,C3.083333333333333#,96,2,0
109200,99.6352175,467,0.4260956645833403,39,D2.25#,115,2,0
109680,100.0731745,227,0.20711716458334029,42,F2.5#,96,2,0
109920,100.292153,227,0.20711716458334029,46,A2.8333333333333335#,96,2,0
110160,100.5111315,227,0.20711716458334029,54,F3.5#,96,2,0
110400,100.73011,683,0.6231763145833313,51,D3.25#,96,2,0
111120,101.3870455,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
111120,101.3870455,455,0.4151467395833284,53,F3.416666666666667,96,2,0
111600,101.8250025,227,0.20711716458334029,51,D3.25#,96,2,0
111840,102.043981,455,0.4151467395833284,49,C3.083333333333333#,96,2,0
112320,102.481938,683,0.6231763145833313,49,C3.083333333333333#,96,2,0
113040,103.1388735,467,0.4260956645833403,39,D2.25#,115,2,0
113520,103.5768305,227,0.20711716458334029,42,F2.5#,96,2,0
113760,103.795809,227,0.20711716458334029,46,A2.8333333333333335#,96,2,0
114000,104.0147875,227,0.20711716458334029,54,F3.5#,96,2,0
114240,104.233766,683,0.6231763145833313,51,D3.25#,96,2,0
